Date,Open,High,Low,Close,Adj Close,Volume
2003-07-24,113.146004,113.146004,110.258003,112.350998,74.552048,13632280
2003-07-25,113.146004,117.507004,112.704002,116.445999,77.269348,13313276
2003-07-28,119.039001,121.986000,118.833000,119.598999,79.361557,16497160
2003-07-29,119.627998,124.549004,118.568001,123.959999,82.255348,20664367
2003-07-30,124.844002,125.933998,122.663002,123.252998,81.786209,15984402
2003-07-31,124.313004,125.167999,121.455002,122.603996,81.355560,15991915
2003-08-01,123.546997,126.876999,122.663002,126.111000,83.682678,17247698
2003-08-04,124.931999,129.352005,124.931999,128.792007,85.461700,16254908
2003-08-05,129.057007,130.501007,125.903999,127.112999,84.347572,17593960
2003-08-06,126.699997,130.766006,126.139999,127.642998,84.699257,21736341
2003-08-07,129.087006,133.123001,127.348000,132.151001,87.690613,17391821
2003-08-08,133.182007,137.985001,132.475006,137.307007,91.111946,24868054
2003-08-11,136.983002,141.255997,135.746002,139.546997,92.598312,18606152
2003-08-12,140.253998,142.817001,137.897003,139.516998,92.578415,17665355
2003-08-13,140.548996,142.110001,137.925995,141.285004,93.751602,18859348
2003-08-14,142.317001,144.673996,141.904007,143.112000,94.963905,20393117
2003-08-15,null,null,null,null,null,null
2003-08-18,143.819000,152.953003,143.789993,152.246002,101.024910,25782226
2003-08-19,153.837006,156.636993,146.264999,147.944000,98.170265,22304430
2003-08-20,148.975998,149.593994,142.906006,143.376999,95.139778,16004583
2003-08-21,144.231995,148.326996,143.201004,145.410004,96.488800,12015725
2003-08-22,147.149002,151.451004,145.705002,148.858002,98.776756,18687404
2003-08-25,150.272003,151.391998,138.781006,141.992004,94.220734,18729040
2003-08-26,142.317001,151.451004,142.022003,150.684998,99.989113,19830501
2003-08-27,152.335007,154.162003,148.268005,149.505997,99.206757,17417723
2003-08-28,149.151993,149.593994,143.996002,144.820999,96.097961,13954532
2003-08-29,146.589005,151.628006,142.817001,149.300003,99.070061,22909889
2003-09-01,149.093994,150.744003,146.589005,149.653000,99.304291,13156504
2003-09-02,150.537003,151.451004,146.735992,149.035004,98.894218,11074739
2003-09-03,149.653000,154.044006,147.089996,149.063995,98.913460,26851298
2003-09-04,149.682999,156.578003,148.828003,151.744995,100.692474,28464127
2003-09-05,153.365997,158.404007,153.011993,157.462006,104.486069,18795315
2003-09-08,159.641998,159.671005,156.018005,156.753998,104.016273,14869307
2003-09-09,158.169006,158.169006,151.156006,151.981003,100.849075,14978860
2003-09-10,176.791000,176.791000,148.210007,153.100998,101.592255,18555971
2003-09-11,153.807999,155.516998,147.326004,152.688004,101.318222,12547445
2003-09-12,152.923996,153.748993,147.326004,148.475006,98.522629,15343763
2003-09-15,143.348007,148.503998,143.348007,146.264999,97.056152,18635358
2003-09-16,146.442001,155.841003,143.229996,154.927994,102.804565,20300039
2003-09-17,157.048996,160.171997,152.363998,154.279007,102.373955,19593451
2003-09-18,153.337006,153.630997,146.470993,147.501999,97.876961,18478888
2003-09-19,148.798996,152.039993,146.294006,150.360992,99.774101,21463215
2003-09-22,147.914993,150.477997,144.466995,145.410004,96.488800,20283323
2003-09-23,144.908997,151.451004,144.378998,150.567001,99.910797,18275924
2003-09-24,151.804001,154.220001,150.979004,153.278000,101.709709,19125293
2003-09-25,151.156006,157.048996,151.156006,153.837006,102.080650,26697522
2003-09-26,154.662003,157.285004,154.220001,156.606995,103.918716,16886677
2003-09-29,156.106003,162.205994,156.106003,158.580994,105.228569,20977659
2003-09-30,158.610992,160.761993,156.311996,159.906998,106.108475,16210414
2003-10-01,160.761993,161.705002,158.610992,159.317993,105.717644,12257088
2003-10-02,null,null,null,null,null,null
2003-10-03,159.878006,166.772995,159.701004,165.653000,109.921326,15467655
2003-10-06,166.772995,172.606995,166.537003,171.781998,113.988289,14777057
2003-10-07,172.725006,182.035995,172.134995,179.207001,118.915253,30464251
2003-10-08,179.147995,181.623001,176.348999,179.029999,118.797813,17578371
2003-10-09,179.354004,184.393005,179.207001,183.419998,121.710861,13951785
2003-10-10,184.953003,188.576996,183.862000,187.929001,124.702820,12402494
2003-10-13,188.664993,202.130997,188.076004,200.834000,133.266144,19814185
2003-10-14,202.425003,203.839996,191.522995,192.584000,127.791748,25059845
2003-10-15,193.261993,203.309006,190.639008,202.190002,134.165924,31379644
2003-10-16,205.076996,214.182007,203.722000,212.266998,140.852646,29147703
2003-10-17,212.149002,213.326996,208.082993,209.673996,139.132050,17567607
2003-10-20,210.970001,211.559998,202.190002,203.367996,134.947617,14571782
2003-10-21,204.488007,211.205994,193.526993,196.826996,130.607239,32515826
2003-10-22,198.300003,206.255997,197.770004,200.863998,133.286026,29100159
2003-10-23,200.951996,205.960999,197.770004,199.065994,132.092957,22692660
2003-10-24,203.162003,203.162003,193.880997,201.158005,133.481140,27591550
2003-10-27,204.429001,206.225998,193.143997,194.205002,128.867386,27679106
2003-10-28,194.764008,197.651993,190.345001,193.203003,128.202484,31229855
2003-10-29,195.059006,196.621002,189.785004,194.735001,129.219070,24805765
2003-10-30,195.647995,207.434006,193.585999,205.136002,136.120804,49586385
2003-10-31,206.580002,212.089996,206.580002,210.882004,139.933655,20854461
2003-11-03,213.326996,223.934998,212.149002,222.727005,147.793549,21549927
2003-11-04,225.703003,226.233002,217.039993,219.044006,145.349640,20456149
2003-11-05,219.692001,220.634995,214.270004,217.098999,144.059006,16076738
2003-11-06,218.337006,222.167007,216.362000,221.046997,146.678741,17808363
2003-11-07,221.813004,222.873993,214.505997,216.097000,143.394119,14591185
2003-11-10,206.255997,219.632996,206.255997,217.570007,144.371552,11766325
2003-11-11,217.128006,219.574005,214.210999,215.477997,142.983383,12659678
2003-11-12,216.332993,217.628998,213.975998,214.947998,142.631683,9636544
2003-11-13,215.330994,217.658997,208.759995,210.498993,139.679489,12986973
2003-11-14,210.380997,213.151001,205.755005,207.139999,137.450562,17660022
2003-11-17,207.434006,217.393997,205.725006,215.626007,143.081604,18587311
2003-11-18,216.186005,216.274002,208.171005,209.408997,138.956207,13310707
2003-11-19,208.613007,209.085007,202.542999,203.367996,134.947617,12410664
2003-11-20,205.667007,215.595993,197.181000,198.389008,131.643738,14229355
2003-11-21,198.330002,203.485992,196.119995,202.720001,134.517624,18795737
2003-11-24,204.811996,207.934998,201.923996,205.225006,136.179840,15060944
2003-11-25,206.845001,208.141998,204.104996,207.376007,137.607178,12332896
2003-11-26,null,null,null,null,null,null
2003-11-27,208.171005,212.709000,206.934006,208.317993,138.232269,14165991
2003-11-28,212.149002,215.507996,209.673996,212.679001,141.126053,19929372
2003-12-01,214.505997,218.630997,214.388000,217.835999,144.548050,11052715
2003-12-02,220.811996,222.697006,215.537003,217.865005,144.567291,14199661
2003-12-03,219.220993,219.692001,215.154007,216.509995,143.668182,8924175
2003-12-04,216.126999,218.011993,212.384995,216.391998,143.589859,11100592
2003-12-05,218.042007,220.192993,208.317993,209.291000,138.877930,12174624
2003-12-08,209.938995,214.742004,207.492996,212.561005,141.047760,11387623
2003-12-09,215.684998,216.156006,213.121002,214.653000,142.435959,6946689
2003-12-10,215.095001,219.337997,213.917007,215.891006,143.257416,11605100
2003-12-11,219.102997,219.102997,214.063995,215.714005,143.139954,8910665
2003-12-12,216.863007,223.934998,212.914993,222.608994,147.715240,14446868
2003-12-15,225.113998,231.537003,224.524002,230.947998,153.248688,16780521
2003-12-16,229.414993,230.298996,225.761993,228.177994,151.410629,12265741
2003-12-17,227.529999,229.031998,224.906998,226.263000,150.139923,8834382
2003-12-18,229.503998,234.955002,226.468994,233.541000,154.969315,12300112
2003-12-19,234.041000,236.487000,231.625000,233.246002,154.773575,10861524
2003-12-22,234.425003,238.048996,232.804001,236.516998,156.944092,10193621
2003-12-23,237.606995,237.606995,231.802002,233.039993,154.636887,7784856
2003-12-24,276.854004,276.854004,232.244003,242.233002,160.737030,13569482
2003-12-25,null,null,null,null,null,null
2003-12-26,245.975006,250.453995,243.382004,249.804993,165.761490,9105155
